# Initial configuration of a heterochromatin

40 atoms #Number of nucleosomes
3 atoms types #Types of nucleosomes

0.0 40.0 xlo xhi
0.0 40.0 ylo yhi
0.0 40.0 zlo zhi

Masses
1 1
2 1
3 1

Atoms 
id, type, x, y, z
1, 1, 12.509591162921204, 24.95725042606442, 30.230093555671573 
2, 2, 0.5329122006521381, 31.962496689761053, 39.135155990832644 
3, 3, 34.77967474776118, 18.75674744625239, 33.32649621906323 
4, 1, 13.683430706453933, 2.366837215158486, 37.31298369161714 
5, 2, 3.5067213051935564, 37.98395418489461, 10.04033392304558 
6, 2, 5.336328806079225, 15.294607130913128, 38.59993302337989 
7, 1, 6.631360735503673, 24.24286938159782, 5.201928217422864 
8, 1, 39.59301177741863, 11.730073426865456, 36.55023653136272 
9, 1, 15.502801252609292, 37.4761534125537, 3.806234863142035 
10, 3, 7.3247835252325455, 21.640863646443464, 30.322450753811005 
11, 2, 21.650284775650775, 9.619830866127046, 3.7007735269760333 
12, 1, 4.102448945730561, 3.175721619763534, 31.087712595392567 
13, 2, 10.798845918116875, 15.849028188740505, 39.26106878431802 
14, 2, 2.0181269801160218, 27.41802849912892, 0.6359344863605187 
15, 2, 17.18873881352051, 16.015790255053286, 26.018914636473603 
16, 3, 25.092767383049612, 2.1812215849318184, 0.6450379673551421 
17, 3, 12.41417840560819, 28.636795157381954, 19.190639814598956 
18, 3, 37.7140958073133, 33.97948612569883, 37.998010207407845 
19, 2, 34.40119622219389, 27.32490635247793, 7.012228384177139 
20, 1, 4.289491889314929, 26.31372885031588, 27.17096821929243 
21, 3, 3.941279392888619, 29.80944841147434, 37.28278720310155 
22, 1, 22.212103902809247, 32.00937184908463, 10.941779488368567 
23, 3, 5.873253736954851, 36.49798134438667, 13.30982090562447 
24, 3, 35.3011580937343, 24.898102575653162, 15.920935623141354 
25, 2, 4.91743941772246, 22.287645248434984, 6.919942878590275 
26, 1, 39.48797371387011, 20.57777961804495, 12.78574650636013 
27, 3, 25.54424979218449, 34.615328570507224, 14.893749634350954 
28, 1, 39.843387909397734, 19.16809959682545, 10.878920278870542 
29, 3, 36.40010316118403, 0.5995029030818122, 31.249147296250875 
30, 1, 2.0204670238425315, 24.32826287856819, 29.477399506268597 
31, 1, 38.655975401107796, 35.11137621018101, 14.103531246007153 
32, 3, 0.9947981251569882, 16.11486443239348, 28.87112273646806 
33, 2, 3.519886951163431, 10.560388386229796, 30.205220094743048 
34, 3, 9.281498607177113, 17.885022051173287, 26.856560359598053 
35, 1, 23.497272230033804, 24.049321528234806, 19.86741571229072 
36, 2, 1.8550638723927815, 14.43970718829529, 24.11859979922491 
37, 1, 26.845931066697496, 3.745163232437685, 15.553054471847476 
38, 2, 8.029205629996227, 17.602061777080745, 22.20747277634093 
39, 1, 26.75849409418926, 1.1208615034637193, 39.86729943989383 
40, 1, 16.997802319531505, 36.853929995317436, 8.61219623558673 
